id,附加费代码,附加费名称,船司,航线,起运港,目的港,币种,20底,40底,40HQ底,单票,付款方式
6541,THC,码头操作费,WHL,马来西亚,SHENZHEN,PASIR GUDANG,CNY,620,930,930,,PREPAID
6541,DOC,文件费,WHL,马来西亚,SHENZHEN,PASIR GUDANG,CNY,,,,450.0,PREPAID
6541,SEAL,封条费,WHL,马来西亚,SHENZHEN,PASIR GUDANG,CNY,30,30,30,,PREPAID
6541,TLX,电放费,WHL,马来西亚,SHENZHEN,PASIR GUDANG,CNY,,,,450.0,PREPAID
6541,EIR,打单费,WHL,马来西亚,SHENZHEN,PASIR GUDANG,CNY,50,50,50,,PREPAID
6541,LSS,低硫附加费,WHL,马来西亚,SHENZHEN,PASIR GUDANG,USD,20,40,40,,PREPAID
6542,THC,码头操作费,WHL,马来西亚,SHENZHEN,PASIR GUDANG,CNY,620,930,930,,PREPAID
6542,DOC,文件费,WHL,马来西亚,SHENZHEN,PASIR GUDANG,CNY,,,,450.0,PREPAID
6542,SEAL,封条费,WHL,马来西亚,SHENZHEN,PASIR GUDANG,CNY,30,30,30,,PREPAID
6542,TLX,电放费,WHL,马来西亚,SHENZHEN,PASIR GUDANG,CNY,,,,450.0,PREPAID
6542,EIR,打单费,WHL,马来西亚,SHENZHEN,PASIR GUDANG,CNY,50,50,50,,PREPAID
6542,LSS,低硫附加费,WHL,马来西亚,SHENZHEN,PASIR GUDANG,USD,20,40,40,,PREPAID
43601,THC,码头操作费,PIL,越南,ZHONGSHAN,SIHANOUKVILLE,CNY,599,950,950,,PREPAID
43601,DOC,文件费,PIL,越南,ZHONGSHAN,SIHANOUKVILLE,CNY,,,,450.0,PREPAID
43601,ISPS,港口安保费,PIL,越南,ZHONGSHAN,SIHANOUKVILLE,USD,10,10,10,,PREPAID
43601,SEAL,封条费,PIL,越南,ZHONGSHAN,SIHANOUKVILLE,CNY,45,45,45,,PREPAID
43601,EIR,打单费,PIL,越南,ZHONGSHAN,SIHANOUKVILLE,CNY,40,40,40,,PREPAID
43601,TLX,电放费,PIL,越南,ZHONGSHAN,SIHANOUKVILLE,CNY,,,,450.0,PREPAID
43601,LSS,低硫附加费,PIL,越南,ZHONGSHAN,SIHANOUKVILLE,USD,25,50,50,,PREPAID
43538,DOC,文件费,PIL,越南,ZHUHAI,SIHANOUKVILLE,CNY,,,,450.0,PREPAID
43538,SEAL,封条费,PIL,越南,ZHUHAI,SIHANOUKVILLE,CNY,45,45,45,,PREPAID
43538,ISPS,港口安保费,PIL,越南,ZHUHAI,SIHANOUKVILLE,USD,10,10,10,,PREPAID
43538,EIR,打单费,PIL,越南,ZHUHAI,SIHANOUKVILLE,CNY,40,40,40,,PREPAID
43538,TLX,电放费,PIL,越南,ZHUHAI,SIHANOUKVILLE,CNY,,,,450.0,PREPAID
43538,LSS,低硫附加费,PIL,越南,ZHUHAI,SIHANOUKVILLE,USD,25,50,50,,PREPAID
43538,THC,码头操作费,PIL,越南,ZHUHAI,SIHANOUKVILLE,CNY,599,950,950,,PREPAID
43537,DOC,文件费,PIL,越南,ZHUHAI,PHNOM PENH,CNY,,,,450.0,PREPAID
43537,SEAL,封条费,PIL,越南,ZHUHAI,PHNOM PENH,CNY,45,45,45,,PREPAID
43537,ISPS,港口安保费,PIL,越南,ZHUHAI,PHNOM PENH,USD,10,10,10,,PREPAID
43537,EIR,打单费,PIL,越南,ZHUHAI,PHNOM PENH,CNY,40,40,40,,PREPAID
43537,TLX,电放费,PIL,越南,ZHUHAI,PHNOM PENH,CNY,,,,450.0,PREPAID
43537,LSS,低硫附加费,PIL,越南,ZHUHAI,PHNOM PENH,USD,25,50,50,,PREPAID
43537,THC,码头操作费,PIL,越南,ZHUHAI,PHNOM PENH,CNY,599,950,950,,PREPAID
43475,DOC,文件费,PIL,越南,JIANGMEN,SIHANOUKVILLE,CNY,,,,450.0,PREPAID
43475,SEAL,封条费,PIL,越南,JIANGMEN,SIHANOUKVILLE,CNY,45,45,45,,PREPAID
43475,ISPS,港口安保费,PIL,越南,JIANGMEN,SIHANOUKVILLE,USD,10,10,10,,PREPAID
43475,TLX,电放费,PIL,越南,JIANGMEN,SIHANOUKVILLE,CNY,,,,450.0,PREPAID
