id,起运港,目的港,船公司,目的港挂靠,航线代码,LINE,航程,船期,中转港,港区,20底,40底,40HQ底,起始日期,结束日期,供应商,备注,备注1,备注2
6541,SHENZHEN,PASIR GUDANG,WHL,,NS3,马来西亚,7,4/5,,SHEKOU,120,230,230,07/01,08/31,深圳海光,免电放 小柜超16吨（含16吨）收USD5 重柜费目的港免柜默认5DEM+5DET,,"從2018年01月1日起(以 開船日/on-board-date計), 深圳出口至東南亞所有航線的小重
柜加收OWS 額度為：
貨重：16001KGS -21000KGS: 加收OWS USD20/20'GP
貨重：Cargo weight: 21001KGS-28000KGS: 加收OWS USD40/20'GP"
6542,SHENZHEN,PASIR GUDANG,WHL,,KSS,马来西亚,8,5/7,,SHEKOU,120,230,230,07/01,08/31,深圳海光,免电放 小柜超16吨（含16吨）收USD5 重柜费目的港免柜默认5DEM+5DET,,"從2018年01月1日起(以 開船日/on-board-date計), 深圳出口至東南亞所有航線的小重
柜加收OWS 額度為：
貨重：16001KGS -21000KGS: 加收OWS USD20/20'GP
貨重：Cargo weight: 21001KGS-28000KGS: 加收OWS USD40/20'GP"
43601,ZHONGSHAN,SIHANOUKVILLE,PIL,,,越南,12,"1,3,5/3",NANSHA,XiaoLan,610,1210,1210,08/01,09/14,中山海光,,,
43538,ZHUHAI,SIHANOUKVILLE,PIL,,,越南,12,"1,3,5/3",NANSHA,XIYU,610,1210,1210,08/01,09/14,中山海光,,,
43475,JIANGMEN,SIHANOUKVILLE,PIL,,,越南,12,"1,3,5/3",NANSHA,WAIHAI,610,1210,1210,08/01,09/14,中山海光,,,
43283,FOSHAN,SIHANOUKVILLE,PIL,,,越南,12,"1,3,5/3",NANSHA,JiuJiang,610,1210,1210,08/01,09/14,中山海光,,,
43220,ZHUHAI,SIHANOUKVILLE,PIL,,,越南,12,"1,3,5/3",NANSHA,HONGWANG,610,1210,1210,08/01,09/14,中山海光,,,
43157,JIANGMEN,SIHANOUKVILLE,PIL,,,越南,12,"1,3,5/3",NANSHA,GAOSHA,610,1210,1210,08/01,09/14,中山海光,,,
43076,ZHONGSHAN,SIHANOUKVILLE,PIL,,,越南,12,"1,3,5/3",NANSHA,ZhongShanGang,610,1210,1210,08/01,09/14,中山海光,,,
43600,ZHONGSHAN,PHNOM PENH,PIL,,,越南,15,"1,3,5/3",NANSHA,XiaoLan,1285,1960,1960,08/01,09/14,中山海光,,,
43537,ZHUHAI,PHNOM PENH,PIL,,,越南,15,"1,3,5/3",NANSHA,XIYU,1285,1960,1960,08/01,09/14,中山海光,,,
43474,JIANGMEN,PHNOM PENH,PIL,,,越南,15,"1,3,5/3",NANSHA,WAIHAI,1285,1960,1960,08/01,09/14,中山海光,,,
43282,FOSHAN,PHNOM PENH,PIL,,,越南,15,"1,3,5/3",NANSHA,JiuJiang,1285,1960,1960,08/01,09/14,中山海光,,,
43219,ZHUHAI,PHNOM PENH,PIL,,,越南,15,"1,3,5/3",NANSHA,HONGWANG,1285,1960,1960,08/01,09/14,中山海光,,,
43156,JIANGMEN,PHNOM PENH,PIL,,,越南,15,"1,3,5/3",NANSHA,GAOSHA,1285,1960,1960,08/01,09/14,中山海光,,,
43075,ZHONGSHAN,PHNOM PENH,PIL,,,越南,15,"1,3,5/3",NANSHA,ZhongShanGang,1285,1960,1960,08/01,09/14,中山海光,,,
43604,ZHONGSHAN,DANANG,PIL,,,越南,6,"1,3,5/7",NANSHA,XiaoLan,685,1260,1260,08/01,09/14,中山海光,,,
43541,ZHUHAI,DANANG,PIL,,,越南,6,"1,3,5/7",NANSHA,XIYU,685,1260,1260,08/01,09/14,中山海光,,,
43478,JIANGMEN,DANANG,PIL,,,越南,6,"1,3,5/7",NANSHA,WAIHAI,685,1260,1260,08/01,09/14,中山海光,,,
43286,FOSHAN,DANANG,PIL,,,越南,6,"1,3,5/7",NANSHA,JiuJiang,685,1260,1260,08/01,09/14,中山海光,,,
43223,ZHUHAI,DANANG,PIL,,,越南,6,"1,3,5/7",NANSHA,HONGWANG,685,1260,1260,08/01,09/14,中山海光,,,
43160,JIANGMEN,DANANG,PIL,,,越南,6,"1,3,5/7",NANSHA,GAOSHA,685,1260,1260,08/01,09/14,中山海光,,,
43079,ZHONGSHAN,DANANG,PIL,,,越南,6,"1,3,5/7",NANSHA,ZhongShanGang,685,1260,1260,08/01,09/14,中山海光,,,
43606,ZHONGSHAN,QUI NHON,PIL,,,越南,15,"1,3,5/7",NANSHA,XiaoLan,635,1260,1260,08/01,09/14,中山海光,,,
43543,ZHUHAI,QUI NHON,PIL,,,越南,15,"1,3,5/7",NANSHA,XIYU,635,1260,1260,08/01,09/14,中山海光,,,
43480,JIANGMEN,QUI NHON,PIL,,,越南,15,"1,3,5/7",NANSHA,WAIHAI,635,1260,1260,08/01,09/14,中山海光,,,
43288,FOSHAN,QUI NHON,PIL,,,越南,15,"1,3,5/7",NANSHA,JiuJiang,635,1260,1260,08/01,09/14,中山海光,,,
43225,ZHUHAI,QUI NHON,PIL,,,越南,15,"1,3,5/7",NANSHA,HONGWANG,635,1260,1260,08/01,09/14,中山海光,,,
43162,JIANGMEN,QUI NHON,PIL,,,越南,15,"1,3,5/7",NANSHA,GAOSHA,635,1260,1260,08/01,09/14,中山海光,,,
43081,ZHONGSHAN,QUI NHON,PIL,,,越南,15,"1,3,5/7",NANSHA,ZhongShanGang,635,1260,1260,08/01,09/14,中山海光,,,
43605,ZHONGSHAN,HAIPHONG,PIL,,,越南,3,"1,3,5/7",NANSHA,XiaoLan,535,960,960,08/01,09/14,中山海光,,,
43542,ZHUHAI,HAIPHONG,PIL,,,越南,3,"1,3,5/7",NANSHA,XIYU,535,960,960,08/01,09/14,中山海光,,,
43479,JIANGMEN,HAIPHONG,PIL,,,越南,3,"1,3,5/7",NANSHA,WAIHAI,535,960,960,08/01,09/14,中山海光,,,
43287,FOSHAN,HAIPHONG,PIL,,,越南,3,"1,3,5/7",NANSHA,JiuJiang,535,960,960,08/01,09/14,中山海光,,,
43224,ZHUHAI,HAIPHONG,PIL,,,越南,3,"1,3,5/7",NANSHA,HONGWANG,535,960,960,08/01,09/14,中山海光,,,
43161,JIANGMEN,HAIPHONG,PIL,,,越南,3,"1,3,5/7",NANSHA,GAOSHA,535,960,960,08/01,09/14,中山海光,,,
43080,ZHONGSHAN,HAIPHONG,PIL,,,越南,3,"1,3,5/7",NANSHA,ZhongShanGang,535,960,960,08/01,09/14,中山海光,,,
43602,ZHONGSHAN,HOCHIMINH CAT LAI,PIL,,,越南,5,"1,3,5/5",NANSHA,XiaoLan,585,1060,1060,08/01,09/14,中山海光,,,
43539,ZHUHAI,HOCHIMINH CAT LAI,PIL,,,越南,5,"1,3,5/5",NANSHA,XIYU,585,1060,1060,08/01,09/14,中山海光,,,
43476,JIANGMEN,HOCHIMINH CAT LAI,PIL,,,越南,5,"1,3,5/5",NANSHA,WAIHAI,585,1060,1060,08/01,09/14,中山海光,,,
43284,FOSHAN,HOCHIMINH CAT LAI,PIL,,,越南,5,"1,3,5/5",NANSHA,JiuJiang,585,1060,1060,08/01,09/14,中山海光,,,
43221,ZHUHAI,HOCHIMINH CAT LAI,PIL,,,越南,5,"1,3,5/5",NANSHA,HONGWANG,585,1060,1060,08/01,09/14,中山海光,,,
43158,JIANGMEN,HOCHIMINH CAT LAI,PIL,,,越南,5,"1,3,5/5",NANSHA,GAOSHA,585,1060,1060,08/01,09/14,中山海光,,,
