id,起运港,目的港,船公司,目的港挂靠,航线代码,LINE,航程,船期,中转港,港区,20底,40底,40HQ底,起始日期,结束日期,供应商,备注,备注1,备注2
179925,ZHUHAI,HAIPHONG,YML,,,越南,3,"1,2,3,4,5/6",SHEKOU,HONGWANG,30,50,50,08/01,08/31,中山海光,免电放目的港14+7,,
179910,ZHONGSHAN,HAIPHONG,YML,,,越南,3,"1,2,3,4,5/6",SHEKOU,shenwan,30,50,50,08/01,08/31,中山海光,免电放目的港14+7,,
179895,ZHONGSHAN,HAIPHONG,YML,,,越南,3,"1,2,3,4,5/6",SHEKOU,XiaoLan,30,50,50,08/01,08/31,中山海光,免电放目的港14+7,,
179885,ZHONGSHAN,HAIPHONG,YML,,,越南,3,"1,2,3,4,5/6",SHEKOU,ZhongShanGang,30,50,50,08/01,08/31,中山海光,免电放目的港14+7,,
203727,SHENZHEN,GOTHENBURG,HMM,,EU6,欧洲,41,7/2,HAMBURG,YANTIAN,894,1598,1648,08/23,08/31,深圳海光,,价格以开船日为准,小柜限货重17.9吨，18吨-21.79吨，收重柜费USD200/柜，21.8吨及以上，收重柜费USD400/柜
187876,SHENZHEN,LE HAVRE,HMM,,EU6,欧洲,37,7/2,,YANTIAN,769,1398,1448,08/23,08/31,深圳海光,,价格以开船日为准,小柜限货重17.9吨，18吨-21.79吨，收重柜费USD200/柜，21.8吨及以上，收重柜费USD400/柜
187875,SHENZHEN,LONDON GATEWAY,HMM,,EU6,欧洲,32,7/2,,YANTIAN,769,1398,1448,08/23,08/31,深圳海光,,价格以开船日为准,小柜限货重17.9吨，18吨-21.79吨，收重柜费USD200/柜，21.8吨及以上，收重柜费USD400/柜
187874,SHENZHEN,ANTWERP,HMM,,EU6,欧洲,34,7/2,,YANTIAN,769,1398,1448,08/23,08/31,深圳海光,,价格以开船日为准,小柜限货重17.9吨，18吨-21.79吨，收重柜费USD200/柜，21.8吨及以上，收重柜费USD400/柜
187873,SHENZHEN,HAMBURG,HMM,,EU6,欧洲,28,7/2,,YANTIAN,769,1398,1448,08/23,08/31,深圳海光,,价格以开船日为准,小柜限货重17.9吨，18吨-21.79吨，收重柜费USD200/柜，21.8吨及以上，收重柜费USD400/柜
187872,SHENZHEN,ROTTERDAM,HMM,,EU6,欧洲,26,7/2,,YANTIAN,769,1398,1448,08/23,08/31,深圳海光,,价格以开船日为准,小柜限货重17.9吨，18吨-21.79吨，收重柜费USD200/柜，21.8吨及以上，收重柜费USD400/柜
197631,SHENZHEN,BUSAN,MCC,,TP18,韩国,3,6/1,,YANTIAN,20,30,30,08/16,08/31,深圳海光,韩国地区目的港征收EBS USD150/300/300 for 中国大陆起步,价格以SO内开船日为准,"小柜21-27T,收选柜费RMB400。40GP/HQ,货重超过26T，收重柜费RMB400。"
