id,附加费,单位,币种,20底,40底,40HQ底,单票
199350,EIR,X,RMB,,,,50
212718,GJF,GH,RMB,64,96,96,
200252,GJF,GH,RMB,64,96,96,
200252,DCF,P,RMB,,,,102
212718,DCF,P,RMB,,,,82
200252,DOC,P,RMB,,,,500
212718,DOC,P,RMB,,,,450
200252,SEAL,X,RMB,,,,30
212718,SEAL,X,RMB,,,,50
200252,THC,GH,RMB,646,982,982,
212718,THC,GH,RMB,563,856,856,
200252,TELEX,P,RMB,,,,300
212718,TELEX,P,RMB,,,,190
200252,EIR,X,RMB,,,,30
212718,EIR,X,RMB,,,,50
199560,GJF,GH,RMB,64,96,96,
199560,DCF,P,RMB,,,,82
199560,DOC,P,RMB,,,,450
199560,SEAL,X,RMB,,,,40
199560,THC,GH,RMB,566,887,887,
199560,TELEX,P,RMB,,,,400
199560,EIR,X,RMB,,,,30
200307,GJF,GH,RMB,64,96,96,
200307,DCF,P,RMB,,,,102
200307,DOC,P,RMB,,,,500
212718,GJF,GH,RMB,64,96,96,
200307,SEAL,X,RMB,,,,30
212718,DCF,P,RMB,,,,82
200307,THC,GH,RMB,646,982,982,
212718,DOC,P,RMB,,,,450
201070,GJF,GH,RMB,64,96,96,
200307,TELEX,P,RMB,,,,300
212718,SEAL,X,RMB,,,,50
201070,DCF,P,RMB,,,,82
200307,EIR,X,RMB,,,,30
212718,THC,GH,RMB,563,856,856,
201070,DOC,P,RMB,,,,450
201070,SEAL,X,RMB,,,,50
212718,TELEX,P,RMB,,,,190
219000,GJF,GH,RMB,64,96,96,
201070,THC,GH,RMB,563,856,856,
212718,EIR,X,RMB,,,,50
201070,TELEX,P,RMB,,,,190
219000,DCF,P,RMB,,,,82
219000,DOC,P,RMB,,,,450
201070,EIR,X,RMB,,,,50
219000,SEAL,X,RMB,,,,40
219000,THC,GH,RMB,566,887,887,
219000,TELEX,P,RMB,,,,400
219000,EIR,X,RMB,,,,30
219000,GJF,GH,RMB,64,96,96,
219000,DCF,P,RMB,,,,82
219000,DOC,P,RMB,,,,450
219000,SEAL,X,RMB,,,,40
219000,THC,GH,RMB,566,887,887,
219000,TELEX,P,RMB,,,,400
219000,EIR,X,RMB,,,,30
219001,GJF,GH,RMB,64,96,96,
219001,DCF,P,RMB,,,,82
219001,DOC,P,RMB,,,,450
219001,SEAL,X,RMB,,,,40
219001,THC,GH,RMB,566,887,887,
219001,TELEX,P,RMB,,,,400
219001,EIR,X,RMB,,,,30
199995,GJF,GH,RMB,64,96,96,
199995,DCF,P,RMB,,,,82
199995,DOC,P,RMB,,,,450
199995,SEAL,X,RMB,,,,30
199995,THC,GH,RMB,550,825,825,
199995,TELEX,P,RMB,,,,500
199995,EIR,X,RMB,,,,35
199993,GJF,GH,RMB,64,96,96,
199993,DCF,P,RMB,,,,82
199993,DOC,P,RMB,,,,450
199993,SEAL,X,RMB,,,,30
199993,THC,GH,RMB,550,825,825,
199993,TELEX,P,RMB,,,,500
199993,EIR,X,RMB,,,,35
200028,GJF,GH,RMB,64,96,96,
200028,DCF,P,RMB,,,,82
200028,DOC,P,RMB,,,,450
200028,SEAL,X,RMB,,,,30
200028,THC,GH,RMB,550,825,825,
200028,TELEX,P,RMB,,,,500
200028,EIR,X,RMB,,,,35
200257,GJF,GH,RMB,64,96,96,
200257,DCF,P,RMB,,,,102
200257,DOC,P,RMB,,,,500
200257,SEAL,X,RMB,,,,30
200257,THC,GH,RMB,646,982,982,
200257,TELEX,P,RMB,,,,300
200287,GJF,GH,RMB,64,96,96,
200287,DCF,P,RMB,,,,102
200257,EIR,X,RMB,,,,30
200287,DOC,P,RMB,,,,500
200287,SEAL,X,RMB,,,,30
200287,THC,GH,RMB,646,982,982,
200287,TELEX,P,RMB,,,,300
200287,EIR,X,RMB,,,,30
200029,GJF,GH,RMB,64,96,96,
200029,DCF,P,RMB,,,,82
200029,DOC,P,RMB,,,,450
200029,SEAL,X,RMB,,,,30
200029,THC,GH,RMB,550,825,825,
200029,TELEX,P,RMB,,,,500
200029,EIR,X,RMB,,,,35
200286,GJF,GH,RMB,64,96,96,
200286,DCF,P,RMB,,,,102
200286,DOC,P,RMB,,,,500
200286,SEAL,X,RMB,,,,30
200286,THC,GH,RMB,646,982,982,
200286,TELEX,P,RMB,,,,300
200286,EIR,X,RMB,,,,30
200312,GJF,GH,RMB,64,96,96,
200312,DCF,P,RMB,,,,102
200312,DOC,P,RMB,,,,500
200312,SEAL,X,RMB,,,,30
200312,THC,GH,RMB,646,982,982,
200312,TELEX,P,RMB,,,,300
200312,EIR,X,RMB,,,,30
200288,GJF,GH,RMB,64,96,96,
200288,DCF,P,RMB,,,,102
200288,DOC,P,RMB,,,,500
200288,SEAL,X,RMB,,,,30
200288,THC,GH,RMB,646,982,982,
200288,TELEX,P,RMB,,,,300
200288,EIR,X,RMB,,,,30
201136,GJF,GH,RMB,64,96,96,
201136,DCF,P,RMB,,,,102
201136,DOC,P,RMB,,,,500
201136,SEAL,X,RMB,,,,30
201136,THC,GH,RMB,646,982,982,
201136,TELEX,P,RMB,,,,300
200049,GJF,GH,RMB,64,96,96,
200049,DCF,P,RMB,,,,82
201136,EIR,X,RMB,,,,30
200049,DOC,P,RMB,,,,450
200049,SEAL,X,RMB,,,,30
200049,THC,GH,RMB,550,825,825,
200049,TELEX,P,RMB,,,,500
200049,EIR,X,RMB,,,,35
201135,GJF,GH,RMB,64,96,96,
201135,DCF,P,RMB,,,,102
201135,DOC,P,RMB,,,,500
201135,SEAL,X,RMB,,,,30
201135,THC,GH,RMB,646,982,982,
201135,TELEX,P,RMB,,,,300
201135,EIR,X,RMB,,,,30
200002,GJF,GH,RMB,64,96,96,
200002,DCF,P,RMB,,,,82
200002,DOC,P,RMB,,,,450
200002,SEAL,X,RMB,,,,30
200002,THC,GH,RMB,550,825,825,
200002,TELEX,P,RMB,,,,500
200256,GJF,GH,RMB,64,96,96,
200002,EIR,X,RMB,,,,35

200256,DOC,P,RMB,,,,500
200256,SEAL,X,RMB,,,,30
200256,THC,GH,RMB,646,982,982,
200256,TELEX,P,RMB,,,,300
200256,EIR,X,RMB,,,,30
201284,GJF,GH,RMB,64,96,96,
201284,DCF,P,RMB,,,,82
201284,DOC,P,RMB,,,,450
201284,SEAL,X,RMB,,,,30
201284,THC,GH,RMB,656,963,963,
201284,TELEX,P,RMB,,,,300
201284,EIR,X,RMB,,,,20
201013,GJF,GH,RMB,64,96,96,
201013,DCF,P,RMB,,,,82
201013,DOC,P,RMB,,,,450
201013,SEAL,X,RMB,,,,30
201286,GJF,GH,RMB,64,96,96,
201013,THC,GH,RMB,550,825,825,
201286,DCF,P,RMB,,,,82
201013,TELEX,P,RMB,,,,500
201137,GJF,GH,RMB,64,96,96,
201013,EIR,X,RMB,,,,35
201286,DOC,P,RMB,,,,450
201286,SEAL,X,RMB,,,,30
201137,DCF,P,RMB,,,,102
201286,THC,GH,RMB,656,963,963,
201137,DOC,P,RMB,,,,500
201286,TELEX,P,RMB,,,,300
201137,SEAL,X,RMB,,,,30
201286,EIR,X,RMB,,,,20
201137,THC,GH,RMB,646,982,982,
200311,GJF,GH,RMB,64,96,96,
200311,DCF,P,RMB,,,,102
201137,TELEX,P,RMB,,,,300
200311,DOC,P,RMB,,,,500
201137,EIR,X,RMB,,,,30
200311,SEAL,X,RMB,,,,30
200311,THC,GH,RMB,646,982,982,
200311,TELEX,P,RMB,,,,300
200311,EIR,X,RMB,,,,30
201288,GJF,GH,RMB,64,96,96,
201288,DCF,P,RMB,,,,82
200030,GJF,GH,RMB,64,96,96,
201288,DOC,P,RMB,,,,450
200030,DCF,P,RMB,,,,82
201288,SEAL,X,RMB,,,,30
200030,DOC,P,RMB,,,,450
201288,THC,GH,RMB,656,963,963,
200030,SEAL,X,RMB,,,,30
201288,TELEX,P,RMB,,,,300
200030,THC,GH,RMB,550,825,825,
201288,EIR,X,RMB,,,,20
200030,TELEX,P,RMB,,,,500
199352,GJF,GH,RMB,64,96,96,
200030,EIR,X,RMB,,,,35
199352,DCF,P,RMB,,,,82
199352,DOC,P,RMB,,,,450
199352,SEAL,X,RMB,,,,50
199352,THC,GH,RMB,563,856,856,
199352,TELEX,P,RMB,,,,190
200032,GJF,GH,RMB,64,96,96,
199352,EIR,X,RMB,,,,50
200032,DCF,P,RMB,,,,82
200032,DOC,P,RMB,,,,450
200032,SEAL,X,RMB,,,,30
200032,THC,GH,RMB,550,825,825,
200032,TELEX,P,RMB,,,,500
200032,EIR,X,RMB,,,,35
201131,GJF,GH,RMB,64,96,96,
201131,DCF,P,RMB,,,,102
201131,DOC,P,RMB,,,,500
201131,SEAL,X,RMB,,,,30
201131,THC,GH,RMB,646,982,982,
201131,TELEX,P,RMB,,,,300
199353,GJF,GH,RMB,64,96,96,
201131,EIR,X,RMB,,,,30
199353,DCF,P,RMB,,,,82
199353,DOC,P,RMB,,,,450
199353,SEAL,X,RMB,,,,50
199353,THC,GH,RMB,563,856,856,
200033,GJF,GH,RMB,64,96,96,
199353,TELEX,P,RMB,,,,190
200033,DCF,P,RMB,,,,82
199353,EIR,X,RMB,,,,50
200033,DOC,P,RMB,,,,450
200033,SEAL,X,RMB,,,,30
200033,THC,GH,RMB,550,825,825,
200033,TELEX,P,RMB,,,,500
200033,EIR,X,RMB,,,,35
201015,GJF,GH,RMB,64,96,96,
201015,DCF,P,RMB,,,,82
201015,DOC,P,RMB,,,,450
201015,SEAL,X,RMB,,,,30
201015,THC,GH,RMB,550,825,825,
201015,TELEX,P,RMB,,,,500
201015,EIR,X,RMB,,,,35
219005,GJF,GH,RMB,64,96,96,
219005,DCF,P,RMB,,,,82
219005,DOC,P,RMB,,,,450
219005,SEAL,X,RMB,,,,40
219005,THC,GH,RMB,566,887,887,
219005,TELEX,P,RMB,,,,400
201145,GJF,GH,RMB,64,96,96,
219005,EIR,X,RMB,,,,30
201145,DCF,P,RMB,,,,102
201145,DOC,P,RMB,,,,500
201145,SEAL,X,RMB,,,,30
201145,THC,GH,RMB,646,982,982,
201145,TELEX,P,RMB,,,,300
201145,EIR,X,RMB,,,,30
199505,GJF,GH,RMB,64,96,96,
201016,GJF,GH,RMB,64,96,96,
199505,DCF,P,RMB,,,,82
199505,DOC,P,RMB,,,,450
201016,DCF,P,RMB,,,,82
199505,SEAL,X,RMB,,,,40
199505,THC,GH,RMB,566,887,887,
201016,SEAL,X,RMB,,,,30
199505,TELEX,P,RMB,,,,400
199505,EIR,X,RMB,,,,30
201016,THC,GH,RMB,550,825,825,
201016,TELEX,P,RMB,,,,500
201016,EIR,X,RMB,,,,35
200003,GJF,GH,RMB,64,96,96,
200003,DCF,P,RMB,,,,82
200003,DOC,P,RMB,,,,450
200003,SEAL,X,RMB,,,,30
200003,THC,GH,RMB,550,825,825,
200003,TELEX,P,RMB,,,,500
200003,EIR,X,RMB,,,,35
200031,GJF,GH,RMB,64,96,96,
200031,DCF,P,RMB,,,,82
200031,DOC,P,RMB,,,,450
200031,SEAL,X,RMB,,,,30
200031,THC,GH,RMB,550,825,825,
200031,TELEX,P,RMB,,,,500
200031,EIR,X,RMB,,,,35
200254,GJF,GH,RMB,64,96,96,
200254,DCF,P,RMB,,,,102
200254,DOC,P,RMB,,,,500
200254,SEAL,X,RMB,,,,30
219014,GJF,GH,RMB,64,96,96,
200254,THC,GH,RMB,646,982,982,
219014,DCF,P,RMB,,,,82
200254,TELEX,P,RMB,,,,300
219014,DOC,P,RMB,,,,450
200254,EIR,X,RMB,,,,30
219014,SEAL,X,RMB,,,,40
219014,THC,GH,RMB,566,887,887,
219014,TELEX,P,RMB,,,,400
200255,GJF,GH,RMB,64,96,96,
219014,EIR,X,RMB,,,,30
200255,DCF,P,RMB,,,,102
200255,DOC,P,RMB,,,,500
200255,SEAL,X,RMB,,,,30
200255,THC,GH,RMB,646,982,982,
200050,GJF,GH,RMB,64,96,96,
200050,DCF,P,RMB,,,,82
200255,TELEX,P,RMB,,,,300
200050,DOC,P,RMB,,,,450
200255,EIR,X,RMB,,,,30
200050,SEAL,X,RMB,,,,30
200050,THC,GH,RMB,550,825,825,
200050,TELEX,P,RMB,,,,500
200050,EIR,X,RMB,,,,35
201004,GJF,GH,RMB,64,96,96,
201004,DCF,P,RMB,,,,82
200309,GJF,GH,RMB,64,96,96,
201004,DOC,P,RMB,,,,450
200309,DCF,P,RMB,,,,102
201004,SEAL,X,RMB,,,,30
200309,DOC,P,RMB,,,,500
201004,THC,GH,RMB,550,825,825,
200309,SEAL,X,RMB,,,,30
201004,TELEX,P,RMB,,,,500
200309,THC,GH,RMB,646,982,982,
201004,EIR,X,RMB,,,,35
200309,TELEX,P,RMB,,,,300
200309,EIR,X,RMB,,,,30
199503,GJF,GH,RMB,64,96,96,
199503,DCF,P,RMB,,,,82
199503,DOC,P,RMB,,,,450
199503,SEAL,X,RMB,,,,40
199503,THC,GH,RMB,566,887,887,
200310,GJF,GH,RMB,64,96,96,
199503,TELEX,P,RMB,,,,400
200310,DCF,P,RMB,,,,102
199503,EIR,X,RMB,,,,30
200310,DOC,P,RMB,,,,500
200310,SEAL,X,RMB,,,,30
200310,THC,GH,RMB,646,982,982,
200310,TELEX,P,RMB,,,,300
200310,EIR,X,RMB,,,,30
201014,GJF,GH,RMB,64,96,96,
201014,DCF,P,RMB,,,,82
201014,DOC,P,RMB,,,,450
201014,SEAL,X,RMB,,,,30
201014,THC,GH,RMB,550,825,825,
199524,GJF,GH,RMB,64,96,96,
201014,TELEX,P,RMB,,,,500
199524,DCF,P,RMB,,,,82
201014,EIR,X,RMB,,,,35
199524,DOC,P,RMB,,,,450
199524,SEAL,X,RMB,,,,40
199524,THC,GH,RMB,566,887,887,
199524,TELEX,P,RMB,,,,400
199524,EIR,X,RMB,,,,30
200273,GJF,GH,RMB,64,96,96,
200273,DCF,P,RMB,,,,102
200273,DOC,P,RMB,,,,500
200275,GJF,GH,RMB,64,96,96,
200273,SEAL,X,RMB,,,,30
200275,DCF,P,RMB,,,,102
200273,THC,GH,RMB,646,982,982,
200275,DOC,P,RMB,,,,500
199504,GJF,GH,RMB,64,96,96,
200275,SEAL,X,RMB,,,,30
199504,DCF,P,RMB,,,,82
200275,THC,GH,RMB,646,982,982,
199504,DOC,P,RMB,,,,450
200275,TELEX,P,RMB,,,,300
199504,SEAL,X,RMB,,,,40
200275,EIR,X,RMB,,,,30
200274,GJF,GH,RMB,64,96,96,
,
200274,DCF,P,RMB,,,,102

200274,DOC,P,RMB,,,,500
199504,EIR,X,RMB,,,,30
200274,SEAL,X,RMB,,,,30
200274,THC,GH,RMB,646,982,982,
200274,TELEX,P,RMB,,,,300
200274,EIR,X,RMB,,,,30
219018,GJF,GH,RMB,64,96,96,
219018,DCF,P,RMB,,,,82
219018,DOC,P,RMB,,,,450
219018,SEAL,X,RMB,,,,40
219018,THC,GH,RMB,566,887,887,
219018,TELEX,P,RMB,,,,400
219018,EIR,X,RMB,,,,30
200851,GJF,GH,RMB,64,96,96,
200851,DCF,P,RMB,,,,102
200851,DOC,P,RMB,,,,500
200851,SEAL,X,RMB,,,,30
200851,THC,GH,RMB,646,982,982,
200851,TELEX,P,RMB,,,,300
200851,EIR,X,RMB,,,,30
200253,GJF,GH,RMB,64,96,96,
200253,DCF,P,RMB,,,,102
200253,DOC,P,RMB,,,,500
200253,SEAL,X,RMB,,,,30
200253,THC,GH,RMB,646,982,982,
200253,TELEX,P,RMB,,,,300
200253,EIR,X,RMB,,,,30
219013,GJF,GH,RMB,64,96,96,
219013,DCF,P,RMB,,,,82
219013,DOC,P,RMB,,,,450
219013,SEAL,X,RMB,,,,40
219013,THC,GH,RMB,566,887,887,
219013,TELEX,P,RMB,,,,400
219013,EIR,X,RMB,,,,30
199999,GJF,GH,RMB,64,96,96,
199999,DCF,P,RMB,,,,82
199999,DOC,P,RMB,,,,450
199999,SEAL,X,RMB,,,,30
199999,THC,GH,RMB,550,825,825,
199999,TELEX,P,RMB,,,,500
199999,EIR,X,RMB,,,,35
200856,GJF,GH,RMB,64,96,96,
200856,DCF,P,RMB,,,,102
200856,DOC,P,RMB,,,,500
200856,SEAL,X,RMB,,,,30
199522,GJF,GH,RMB,64,96,96,
200856,THC,GH,RMB,646,982,982,
199522,DCF,P,RMB,,,,82
200856,TELEX,P,RMB,,,,300
200001,GJF,GH,RMB,64,96,96,
200856,EIR,X,RMB,,,,30
199522,SEAL,X,RMB,,,,40
200001,DOC,P,RMB,,,,450
,887,
200001,SEAL,X,RMB,,,,30

200001,THC,GH,RMB,550,825,825,
199522,EIR,X,RMB,,,,30
200001,TELEX,P,RMB,,,,500
200001,EIR,X,RMB,,,,35
200308,GJF,GH,RMB,64,96,96,
200000,GJF,GH,RMB,64,96,96,
200308,DCF,P,RMB,,,,102
200000,DCF,P,RMB,,,,82
200308,DOC,P,RMB,,,,500
200000,DOC,P,RMB,,,,450
200308,SEAL,X,RMB,,,,30
199998,GJF,GH,RMB,64,96,96,
200000,SEAL,X,RMB,,,,30
200308,THC,GH,RMB,646,982,982,
200308,TELEX,P,RMB,,,,300
199998,DCF,P,RMB,,,,82
5,825,
200308,EIR,X,RMB,,,,30
199998,DOC,P,RMB,,,,450

199998,SEAL,X,RMB,,,,30
200000,EIR,X,RMB,,,,35
199998,THC,GH,RMB,550,825,825,
199998,TELEX,P,RMB,,,,500
199998,EIR,X,RMB,,,,35
200022,GJF,GH,RMB,64,96,96,
201715,GJF,GH,RMB,64,96,96,
200022,DCF,P,RMB,,,,82
200022,DOC,P,RMB,,,,450
201715,DCF,P,RMB,,,,82
200022,SEAL,X,RMB,,,,30
201715,DOC,P,RMB,,,,450
200022,THC,GH,RMB,550,825,825,
201715,SEAL,X,RMB,,,,40
200272,GJF,GH,RMB,64,96,96,
201715,THC,GH,RMB,566,887,887,
200022,TELEX,P,RMB,,,,500
200272,DCF,P,RMB,,,,102
201715,TELEX,P,RMB,,,,400
200272,DOC,P,RMB,,,,500
201715,EIR,X,RMB,,,,30
200272,SEAL,X,RMB,,,,30
200272,THC,GH,RMB,646,982,982,
200272,TELEX,P,RMB,,,,300
200272,EIR,X,RMB,,,,30
201717,GJF,GH,RMB,64,96,96,
201717,DCF,P,RMB,,,,82
201717,DOC,P,RMB,,,,450
201717,SEAL,X,RMB,,,,40
201717,THC,GH,RMB,566,887,887,
201717,TELEX,P,RMB,,,,400
201717,EIR,X,RMB,,,,30
201073,GJF,GH,RMB,64,96,96,
201073,DCF,P,RMB,,,,82
199351,GJF,GH,RMB,64,96,96,
201073,DOC,P,RMB,,,,450
199351,DCF,P,RMB,,,,82
201073,SEAL,X,RMB,,,,50
199351,DOC,P,RMB,,,,450
201073,THC,GH,RMB,563,856,856,
199351,SEAL,X,RMB,,,,50
201073,TELEX,P,RMB,,,,190
199351,THC,GH,RMB,563,856,856,
201073,EIR,X,RMB,,,,50
199351,TELEX,P,RMB,,,,190
199351,EIR,X,RMB,,,,50
199519,GJF,GH,RMB,64,96,96,
199519,DCF,P,RMB,,,,82
199519,DOC,P,RMB,,,,450
199519,SEAL,X,RMB,,,,40
199516,GJF,GH,RMB,64,96,96,
199519,THC,GH,RMB,566,887,887,
199516,DCF,P,RMB,,,,82
199519,TELEX,P,RMB,,,,400
199516,DOC,P,RMB,,,,450
199519,EIR,X,RMB,,,,30
199516,SEAL,X,RMB,,,,40
199516,THC,GH,RMB,566,887,887,
199516,TELEX,P,RMB,,,,400
199516,EIR,X,RMB,,,,30
200038,GJF,GH,RMB,64,96,96,
218999,GJF,GH,RMB,64,96,96,
200038,DCF,P,RMB,,,,82
218999,DCF,P,RMB,,,,82
200038,DOC,P,RMB,,,,450
218999,DOC,P,RMB,,,,450
199997,GJF,GH,RMB,64,96,96,
200038,SEAL,X,RMB,,,,30
199997,DCF,P,RMB,,,,82
218999,THC,GH,RMB,566,887,887,
200038,THC,GH,RMB,550,825,825,
218999,TELEX,P,RMB,,,,400
199997,DOC,P,RMB,,,,450
200038,TELEX,P,RMB,,,,500
218999,EIR,X,RMB,,,,30
199997,SEAL,X,RMB,,,,30
200038,EIR,X,RMB,,,,35
199997,THC,GH,RMB,550,825,825,
199997,TELEX,P,RMB,,,,500
199997,EIR,X,RMB,,,,35
219017,GJF,GH,RMB,64,96,96,
219017,DCF,P,RMB,,,,82
219017,DOC,P,RMB,,,,450
201018,GJF,GH,RMB,64,96,96,
219017,SEAL,X,RMB,,,,40
201018,DCF,P,RMB,,,,82
219017,THC,GH,RMB,566,887,887,
201018,DOC,P,RMB,,,,450
201018,SEAL,X,RMB,,,,30
219017,TELEX,P,RMB,,,,400
201018,THC,GH,RMB,550,825,825,
219017,EIR,X,RMB,,,,30
201018,TELEX,P,RMB,,,,500
201018,EIR,X,RMB,,,,35
201197,GJF,GH,RMB,64,96,96,
201197,DCF,P,RMB,,,,102
201197,DOC,P,RMB,,,,500
201197,SEAL,X,RMB,,,,30
201197,THC,GH,RMB,646,982,982,
201197,TELEX,P,RMB,,,,300
200042,GJF,GH,RMB,64,96,96,
201197,EIR,X,RMB,,,,30
200042,DCF,P,RMB,,,,82
200042,DOC,P,RMB,,,,450
200042,SEAL,X,RMB,,,,30
200042,THC,GH,RMB,550,825,825,
200042,TELEX,P,RMB,,,,500
219016,GJF,GH,RMB,64,96,96,
200042,EIR,X,RMB,,,,35
219016,DCF,P,RMB,,,,82
219004,DCF,P,RMB,,,,82
219016,DOC,P,RMB,,,,450
219016,SEAL,X,RMB,,,,40
